message_clean,sentimen
ayok onic kalian menang lg flexed biceps,positif
lemon the real goat lemon lemon lemon,netral
onik jt,negatif
tidaks alter ego,negatif
yuu alter ego,negatif
ucup jarko,positif
gooaa,positif
alter ego jago banget,positif
rrq kapan main min,netral
w,negatif
iklan trus,negatif
gook alter ego,negatif
iklannya masayaaallah tabarakallah,positif
evos,positif
entah gua yakin onic juara tapi semantidakt aja apapun hasilnya kalian lakukan terbaik,positif
mn nih,netral
jugan lupa respek banned,negatif
mana suaranya sonic antidakat pialaa,negatif
nino,positif
kesuween,positif
aku lah sang kingdon,positif
rrq aja tidak lolos gimana mau main cat with tears of joy face holding back tears cat with tears of joy,negatif
yamet kudasai,negatif
onic sans landak kuning flexed biceps,netral
onic tolongs,negatif
kingdom banyak tidaknti skin jadi alterchamps tertawa,positif
onic,positif
kasih,positif
astaghfirullah,negatif
onic jt,netral
iklan dlu,netral
alter ego yok kasian nino belum ngerasain juara,negatif
rrq kapan main,netral
kelqmaan,negatif
onic lah juaranya,positif
jt alter ego,negatif
onic menang,positif
kapan mulai,negatif
yuk alter egok piala pertama,netral
inget,positif
onic,positif
uda kasih alter ego ajha piala nya guys,netral
alter ego bott,negatif
bismillah folded hands alther ego,netral
kurangin gengsi up mental let s go antidakat trofi alter ego,negatif
malter egonnya jam setentidakh kan,negatif
penduduk asli goa hitam pepeqii,netral
onicv,positif
alter ego woyy face blue smiling,negatif
udah ketebak,negatif
respect alter ego kasih alter ego juara,positif
alter ego all in,netral
bismillah semotidak alter ego menang aminn,positif
semantidakt perwakilan m from kingdom,netral
ayo alter ego ukir sejarah,netral
respect,positif
jam brp star nya,netral
mau taruhan sini,netral
katanya doang main jam tapi mulainya subuh kebiasaan,negatif
yok yok onic,netral
ungood tidakmeer,positif
onic goo,positif
bgian tim apa,negatif
king onik bos,negatif
alter ego or onic,negatif
skip iklan,negatif
lama banget jir,negatif
onic vs alter ego,netral
sahronic,positif
jam brp mulai nya,netral
m,netral
malter egon jam brpa guys,negatif
langsung aja kasih pialanya king rrq face blue smiling,netral
raja goa,positif
siapa main hari we,negatif
diatas langit apa,negatif
milyar gue petidakng onic,negatif
tim nya tidak lolos playof jantidakn berisik,negatif
samsung frame drop,negatif
katanya jam malam rrq vs evos,netral
onic menangood tidakme,negatif
alter ego aamiin face blue smiling,netral
berani taruhan tidak,netral
ayokk landak juara,positif
kasih aja pialanya alter ego,negatif
kindong bersama altercamp,netral
bila mula,netral
alter champs go go,netral
percaya tidak alter ego juara,positif
rrq mana katanya final lewat undantidakn parah ni mpl face purple smiling tears,negatif
jt aja onic,negatif
alter ego menantidakan lah,negatif
rrq kok tidak mian,negatif
bismillah alter egoo,netral
lamaa,negatif
nungood tidakmeu apaan dah lama mulai nyaa,negatif
jam berapa yaa mainnya,netral
nungood tidakmeuin apaan jir mainnya lama woi,negatif
alter ego onic bismillah folded hands alter ego juara,positif
hala madrid,negatif
iklan sue,negatif
gw metidakng onic,positif
rrq badut clown face,negatif
final rrq vs evos kapan tidakis,netral
iklan,negatif
alter ego juara nih,positif
mantidakn,positif
rrg raja setidakla raja,positif
alter ego menang,negatif
onic vs alter ego,netral
sayaa rasa onic mentidaklah,negatif
kingdom bersama altercamp,netral
kelas,positif
lma kli,negatif
rrq majn ntr jam pagi,netral
samsungood tidakme,negatif
alter egoe juara nih,positif
rrq juara,positif
jom tengok rrq goa speaking head,netral
lama nian woy,negatif
jam brp sih mainnya,netral
raja setidakla renner up etss,netral
banyak iklan,positif
alter ego let s go,netral
onic kalah jt,negatif
nonton ribu like cuma ribu body blue raised arms,netral
lesgoo,negatif
bismillah onic juara yaallah aminn,positif
gjls iklan,negatif
tidaklaxy s,negatif
main nya jam broo,netral
mulainya,netral
all in onic,positif
alter ego sepele kidss,negatif
sule klarifikasi,netral
anjir malter egonnya,negatif
berapa jam si,netral
alter ego mengukir sejarah,netral
iklan setidakban wak,positif
taruhan dosa besar,negatif
rrq raja setidakla badut clown face,netral
mulai jam brp,netral
ntidakntuk min,netral
score feeling,positif
alter ego letsgoo,negatif
tidakme menit iklan jam tidak malu apa mobile legend sama tidakme moba,positif
alter ego sepele,negatif
bolabdia,positif
bolkoajta,netral
onic or alter ego,negatif
logo mpl id nya mau diturunin sendiri apa mau diturunin king alter ego,negatif
goo rrq juara,positif
alter ego jt sini dm gua,netral
jam berapa sih,netral
jam brpa,netral
bolokokata,positif
udah rame aja nih,positif
nungood tidakmeu gorentidakn dibagikan face blue smiling,netral
jam anj mulai nyaa,netral
woi koh delwyn live dong,netral
harap,netral
min sung alter ego,negatif
fix rrq goa,netral
alter ego suka sepelein catat,negatif
haus broadcasting,negatif
mulaikhaa,positif
rrq tidak lolos oi,negatif
wong irreng,positif
iklan wok,negatif
deg detidakn aa smiling face with tear,netral
rrq atas onic,netral
loh,positif
alter ego mana suaranya,negatif
onic jt,netral
onic onic onic,negatif
admin pusing beaming face with smiling eyes,negatif
mainya jam,netral
udah sore kali,netral
deh jantidakn bawa bawa tidak tidak sini dukung main,negatif
gua pengen eek,netral
lo ee lo ee,negatif
onic sentidakja mentidaklah,negatif
bismillahirrahmanirrahim semotidak onic menang amin palms up together,positif
onic jt,netral
alter ego menang gua tandai,negatif
seru nih,positif
menang lawan ererki,positif
set woy malter egonya,negatif
raja setidakla raja,positif
rrq kapan main,netral
alter ego sepele coach starsayandrom,netral
nonton ribu like cuma ribu body blue raised arms,netral
alter ego jt,negatif
alter ego jt ayo berani,negatif
koh live dong koh,netral
alter egolah taruhan jt makan aja pakai telor,negatif
lamaa,negatif
katakan dunia king evos pulang goa tertawatertawa,netral
apaah tertawaw,negatif
alter ego fiks,negatif
go go go m,positif
main jam,netral
hape xiomi sok taruhan,negatif
alter ego tidaks,negatif
elbowcough elbowcough,netral
alter ego jt adakah,netral
kingdom jntidakn kepancing sentidakja hina kingdom kingdom ramai dsini,negatif
loudly crying face loudly crying face,netral
onic lah,negatif
banyak fans bocil,positif
go kairi hedgehog red heart,netral
onic semantidakt,positif
triliun,positif
jt aja petidakng alter ego gw,negatif
nungood tidakmeu m,netral
ayo ayo bismillah onic menang,positif
mu vs,netral
malah judi face with rolling eyes hidup melarat so so an judi taruhan,negatif
lets goo onic id semantidakt onic,netral
fiks alter ego tidur aja,negatif
llama sekali yaa,positif
alter ego jt,negatif
bismillah folded hands alter ego juara,positif
masi lama,negatif
anj menit,negatif
lama cuk,negatif
onik jt,negatif
onic juta adakah,netral
tolongs jantidakn harepin alter ego menang biar pasif nya aktif moai moai moai,negatif
menuju babak plyof grinning face with sweat,netral
m apaan,negatif
alter ego antidakat trofi trophy,netral
final rrq vs siapa,netral
onik sekarang kahh,negatif
nonton ribu like cuma ribu body blue raised arms,netral
bosen onix lolos terus tapi tidak pernah bawa piala mseries,negatif
alter ego dark sistem,negatif
jam brp sih,netral
yapping nya,positif
kapan mulai matchnya,netral
yalter egola sejam lebih nungood tidakmeu,negatif
malah judii,negatif
nic alter ego,negatif
langya pa to,netral
this alter ego time not onic time,negatif
sejam setentidakh wak,negatif
lama njir menit,negatif
dukung onic ketik,netral
this alter ego time not onic time,negatif
halo,netral
alter ego juara,positif
ban yss jasuke,netral
nonton ribu like cuma ribu body blue raised arms,netral
onic jt cari lawan,negatif
yapping,positif
yuk alter ego juara,positif
onic menang udah,positif
menit gelo,negatif
bismillah evos is back,netral
alter ego tidakbakal menang,negatif
stop taruhan woy,negatif
mana woii,negatif
judi,negatif
mabar,negatif
goodluck alter ego group stage exit secured in m,netral
mana katanya ipos is bek face with tears of joy face with tears of joy face with tears of joy,negatif
alter ego let s go,netral
dinda orang dinda,negatif
main jam berapa bre,netral
onic alter ego,negatif
onic onic,negatif
mahal bang eyes purple crying,negatif
gelo menit loh,negatif
alter ego gok gok gok,negatif
puyatan matatapos laban alas,negatif
jam berapa tidakme nya bg,negatif
alter ego bakal pecah telor juaraa,negatif
rrq main jam berapa,netral
good luck alter ego letsgooww black heart black heart black heart,positif
jantidakn harepin alter ego menang biar pasif nya aktif moai moai moai,negatif
kasih si biar dk bosan mpl jugan onic mulu,negatif
karbitan alter ego banyak tertawatertawa,negatif
baru rbu view,netral
lets go todaak,positif
main jam berapa ni,netral
bismillah folded hands alter ego juara,positif
alter ego menang dentidakn score,netral
bismillah semotidak ngood tidakmea karbitan,positif
kalah biasa,negatif
menit lgi brp jam jier,netral
ayoo onic id semantidakt onic kalahkan alter egoo onic match panas hari,netral
onic juara mpl,positif
go alter ego,negatif
onic jt,netral
lagood tidakme,negatif
ayo pilih alter ego ketik pilih onic ketik,netral
ff,positif
main jam brp bg,netral
nonton ribu like cuma ribu body blue raised arms,netral
ciee final sepi tidak da evos rrq,negatif
onic kalah,negatif
udah mulai bg,positif
kendy,positif
aku sonic tpii feeling ku menang alter ego loudly crying face loudly crying face,positif
lets go alter ego bantai onic face fuchsia tongue out,netral
aq pendukung onic pngen sii onic menang tpi aq jutidak pengen alterigo menang karna terharu sama nino nya season season tidak lelah berjuang onic ntidaklah dulu lah kasih nino kebahagiaan impiannya,positif
setia alterchamps s,netral
alter ego,negatif
siapa berani gue alter ego meliyar,negatif
miskin aja sok mau taruhan,negatif
kendi,netral
siapa cok,negatif
ukir sejarah is real,positif
kendy siapa kocak,negatif
mulai jam berapa tidakis,netral
onic menang guys,positif
baru mulai,netral
face blue smiling,netral
cendy crispy iy,positif
onic banget,positif
tidak dulu deh,negatif
alamak cendy,positif
rrq jadwal nya kapan,netral
menit kocakk,positif
sepi karna belum mulai boy,negatif
si retplek kata pens debu ungu,negatif
dica ricardo siapa,negatif
beneran cendy jing tertawatertawaw,negatif
si sanz sakit katanya,negatif
alter ego gogogo,negatif
aihh lama,negatif
juara tetap onic adik,positif
opet tertawa,negatif
rrq kapan main,netral
gelok public enemy,negatif
jam berapa mulainya bang,netral
s marketing face with tears of joy face with tears of joy face with tears of joy,netral
rrq kapan oi face red droopy eyes,netral
psti,negatif
beda sama dibawah pleading face kalau menang koar koar,negatif
yuka cuy,positif
we own this,netral
yok lah alter ego juara,positif
jam berapa mulai yh vg,netral
alter ego m winking face with tongue,netral
onik jt aja sini,negatif
cepet mulai,positif
ogogo alter ego,negatif
thanks,positif
iklan ni,netral
menang alter ego gua mimpi tidakme terakhir arfy savage,negatif
cendy bala bala y,negatif
cebdy,positif
jam cuma buat iklan face blue smiling,netral
onic ni,negatif
gue petidakng alter ego m siapa berani,negatif
woy lama gua mau liat final rrq face red droopy eyes,netral
weuy jantidakn judi,negatif
mainnya,positif
face red droopy eyes face purple crying,netral
skip dah,negatif
cendy alyssa,netral
tired face,positif
caper,negatif
meskipun alter ego musuh tapi alter ego rispek sama tim lawan,negatif
mainkan elzard,netral
bercanda wee,negatif
rrq main jam berapa bwang clown face,netral
bukan onic menang,negatif
crispy cendyy,positif
tidakya lu,negatif
ayoo onic menang onic kasih alter ego tidakme ajaa,negatif
onnik nih,netral
bangun sendi cari kerja sono,negatif
ramaikan kolom komentar dentidakn,netral
eyes purple crying,netral
parakan,negatif
onic bantai alter ego,negatif
kata lucu epos is bekk,netral
chou kejut cendy tertawa,negatif
aku alter ego,negatif
egood tidakmepos ntidakrep m,netral
congrats onic id,positif
nonton ribu like cuma ribu body blue raised arms,netral
haa,negatif
woe mpl id yapping,negatif
misikn teriak miskin lucu face with tears of joy,negatif
waktunya alter ego juara bismillah,positif
mas sandy mas sandy tertawatertawatertawa,netral
penting ngomong,positif
lama,negatif
woy rrq kapan malter egon,negatif
onic anj,negatif
jantidakn pamerin iklan lu,negatif
alter ego,negatif
cendol dark sistem jiing,negatif
alter ego mental nasional blm internasional,negatif
rrq jam berapa serius nanya,netral
mulai jam kelama,negatif
gua dukung alter ego kok hapus komen gua,negatif
evos mimpi kemarin guys,netral
onic alter ego gue mau onic juara tapi ntidak pengen alter ego kalah,negatif
jam berapa mulai nya,netral
se sempurna apa si lo sampe nge hina bang cendy,negatif
jam brp mulainya,netral
jam berapa main,netral
sapa fans masuk gua aja sono,netral
mainnya jam jugan tungood tidakmeuin,negatif
harinya alter ego,negatif
onic,positif
mingcun jahat pleading face,negatif
jantidakn kasi kiboy hero inisiator,netral
kureng sendi,negatif
jam brp main,netral
koh tenang nino usahain bawa trofi gh alter ego trophy,netral
match mpl vs mpl,netral
yapping mulu,negatif
nt oppo cendy,netral
llq goa,positif
dah keluar,netral
grand final sepi,negatif
ntidak berani sama gue petidakng alter ego m,negatif
onic main,netral
lama yaping,negatif
onic champion mpl indo n champion m,netral
cepot cepot,negatif
jam berapa sih,netral
lama ajuga,negatif
nafari out,netral
info main jamber,netral
nonton ribu like cuma ribu body blue raised arms,netral
alter ego go go go,netral
jam,netral
pemuda pancasila tidak,negatif
onic grup konsisten,positif
buat lama aja cecunguk,negatif
rrq main jam berapa,netral
jam berapa si mulainya,netral
kok sepi kursinya bnyak kosong,negatif
ego juara,negatif
rrq,netral
misi king onic bentar antidakat piala,netral
nairana brisik caper bngt lol,negatif
onic,positif
my kairi,positif
evos evos disini evos evos disana,netral
rrq,netral
nonton ribu like cuma ribu body blue raised arms,netral
match nya mulai pukul berapa bang,netral
face fuchsia wide eyes,netral
kalah bukan musuhnya jago pleading face,negatif
cangood tidakmeung,positif
ayam cuih,positif
winking face with tongue,netral
sepi karna belom malter egon,negatif
kapan mulai nya,negatif
katanya tidakme jam,negatif
mulainya lama jam,negatif
judol buset,negatif
cuan cuan cuan,negatif
my kairi loudly crying face loudly crying face,netral
rrw,netral
lawan kalah asal jantidakn sama evos pleading face,negatif
nairana brisik hama,netral
skip aja ni,negatif
info in dana alter ego,netral
tq,positif
tidak palter egodahnya banyak cakap,positif
pialanya kasih alter ego aja onic,negatif
matchnya mulai jam berapa sih,netral
albert badut,negatif
jam brapa mulai,negatif
onic lesgow,netral
kok banyak nanya air air qyu,negatif
memeq,positif
maaf tapi onic borong piala bawa balik piala m series indo,netral
mulai nya cok,negatif
kasih alter ego juara tidak sih onic,negatif
onic juara nih mah,positif
rrq kpn main,netral
jamber guys mulai,negatif
kairi sumedang tertawatertawa,netral
ktertawatertawakw kairi,netral
goww,positif
match cuan,positif
kairoo,positif
kairul loudly crying face,netral
match jam,netral
rrq fans nya bocil tertawa,positif
a,positif
kan rrq,netral
bersama koch adi siap tsunami tropi hugood tidakmeing face hugood tidakmeing face hugood tidakmeing face,netral
rrq aneng,negatif
pede onicvv,positif
dz,positif
s,positif
mah kumar,negatif
alther ego,negatif
alter ego onic belom dateng pik,negatif
berharap alter ego menciptakan sejarah baru mpl id season,netral
jam set wib kan,netral
tidakss onic kuu,negatif
lah kairi mullet woii tidaktau tertawa,negatif
gogogo onic,netral
iya bang iya rrq tidakda tidakusa banyak bacot,negatif
z,positif
stopp rrq kapan main rrq tidak lolos play off,negatif
bismillah onic juara mpl s,netral
benak onic fans mimpi mata altercham saatnya menghujuntukan mimpi terkubur,netral
kairo,netral
onik fiks juara,positif
nonton ribu like cuma ribu body blue raised arms,netral
juara ikut piala agustusan,positif
lamanya loudly crying face,netral
pleading face waktunya bukan onic,negatif
mana,negatif
langsung intinya face with tears of joy face with tears of joy,netral
muntidakin,negatif
tidakcor,negatif
alter ego go,netral
lama,negatif
mulai jam brapa,netral
bismillah onic menang aamiin,positif
rrq mana rrq,negatif
dimulainya kapan btw,netral
okay,positif
bismillah onic yok yokk,netral
goo onic,positif
onok,negatif
mulai jam brp,netral
lama,negatif
nt dah,positif
letsgo onic,netral
bismillah alther ego juara,positif
onic,positif
langsung piala nya kasih king alter ego,negatif
bjir ai,positif
rrq ayam,negatif
ayamm,negatif
backhand index pointing up winking face with tongue,netral
sabar kocak org tidakada mau nonton kuis kya gini nungood tidakmeu mulai dlu,negatif
bismillah semotidak onic juara,positif
jam brpa main jing,netral
goo anic,netral
mulai jam,netral
on international champion onic,netral
main menit lag,negatif
voting bre,positif
rrq bot,negatif
jam berapa mulainya,netral
lamanya yaping jutidak,negatif
epos tlph,netral
woii atidak cepetan dikit,negatif
rrq pulang beaming face with smiling eyes,netral
tes,netral
belum mulai kan,negatif
tidakis mainnya,negatif
llaammaa,positif
mah apa samsung busuk,negatif
ereri ko gda tim ayam,netral
backhand index pointing down winking face with tongue,netral
es teller,netral
ketik,netral
nonton ribu like cuma ribu body blue raised arms,netral
q,positif
mana nih blm nonton,negatif
mama aku mseries,netral
winking face with tongue winking face with tongue winking face with tongue,netral
rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,netral
rrq,netral
sorry end thenk you,negatif
face blue wide eyes face blue wide eyes,netral
spam semua jir,negatif
lama ntidak sabar pengen lihat onic hari akhir,negatif
ketik,netral
btr badut play off clown face clown face clown face,netral
sorry end thenk you eyes purple crying,negatif
memk,negatif
rrq menang hari,positif
waktunya onic bkn rrq,netral
pak ap,netral
rr,negatif
min running text nya kurang spasi mpl indonesia season harusnya spasi,netral
apa bang,negatif
mtidakpain sih komennya,netral
goa,positif
keburu mau cas hp gw,negatif
backhand index pointing down winking face with tongue,netral
alter ego jt,negatif
cristiano ronaldo nomor is the goat rrq hastag goat,netral
body blue raised arms,netral
pleading face lawan siapapun kalah asal jantidakn evos pleading face,netral
cat with tears of joy,netral
comment an orang indonesia paling tidak bermutu pantes bnyk miskin,negatif
gw alter ego jt,negatif
spam rrq,negatif
hama,negatif
cuma evos cuma evos cuma evos cuma evoss,netral
percuma masuk playoff kalau tidak final,negatif
alter ego jt,negatif
waktunya alter ego juara,positif
titidak ll,positif
jam brp mulai,netral
evos pulang,negatif
predik alter ego juara,positif
atas langit onov,netral
backhand index pointing down,negatif
mulainya jam berapa cok,netral
alh feler,positif
waktunya bukan onic pleading face,negatif
langsung aja kasih rrq pialanya,netral
alter ego jt,negatif
tim cendy,netral
king of,positif
penuh arti piala onic urutan si tim jago,positif
mulai jam brapa pler,netral
it s time alter ego menjadi juara,positif
goo alter ego buat cetak sejarah bawa piasa mpl jadi final m aamin,netral
m nya apa,negatif
face orange raised eyebrow,netral
king,positif
rrq rrq,netral
is back evos,netral
lama ktl,negatif
nice alu,positif
xie baru lolos play off,netral
penguin blue waving tear,netral
aku suka tuan alter ego,positif
tolongin lah evos pleading face,negatif
nak,positif
predik alter ego juara finals mvp nino,netral
kingdom sedang menyamar,netral
grinning face grinning face,netral
bencyanaa,positif
serius aku nonton dri jam,netral
oke,positif
king rr back,positif
alter ego juaraa,positif
king ivis is bick,netral
jam berapa mulai nya,netral
alter ego menang,negatif
mpl dentidakn yapping terbanyak,netral
berapa jam,netral
mulai nya jam brp,netral
kot,negatif
full tidak stage,negatif
m backhand index pointing down backhand index pointing down winking face with tongue,netral
jam berapa,netral
go o,positif
emang goa sinyal rrq,netral
kapan mulainya min,netral
rrq poke,negatif
kink iposs back to goa,netral
asik jutidak nih event nya pilih hero hero rolling on the floor laughing,positif
semotidak coach adi ngood tidakmek respect ban yss,positif
les goo alter ego,netral
belzing duet from skylarkk,positif
suara gemini imut jir,positif
kebanyakan yapiing,negatif
face with tears of joy face with hand over mouth,netral
ayo semua pilih alter ego ketik,netral
yazuke cuma yss haya,netral
onic juara good tidakme onic,positif
mulai,netral
alu sma miya jir tertawaktertawatertawa,netral
kink alter ego vs kink onic,netral
gemini darksistem anying,negatif
semantidakt alter ego lu juara,positif
stop yaping,negatif
rrq,netral
saaveeroo,positif
mpl id mpl dentidakn yapping terbanyak,netral
nonton rb like rb subrcribe jt sekarang jam,netral
good tidakme onic,positif
iya njir,negatif
rrq kg main,negatif
evos jm brpa,netral
kawal terus,positif
rrq lawan apa final nya,negatif
udah coyy udah gosong jantidakn dimasak ntar makin gosong face with tears of joy,negatif
alter ego mengukir sejarah trophy yellow smiling,netral
aokwos miya,negatif
goo onic,positif
pak ap nangiss,negatif
topi bimo picky pick,netral
evos baru lolos play off,netral
yaping yaping yapinh,positif
hero darksayastem tapi player nya bukan darksayastem face with hand over mouth,netral
onic menang gw botak,negatif
mainnya setentidakh sore adik adik,netral
pak ap kembalikan skylar pleading face,netral
semantidakt alter ego flexed biceps,netral
pasif onic coach adi,netral
oo perintidakat rrq,netral
buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering buffering,netral
lamaa,negatif
take a long time,positif
number kok msuk goa person turqouise waving,negatif
rrq kingdom x lokal,netral
kasih pialauntuk king alter ego,netral
m maksudnya,netral
cr,netral
mulai jam berapa bang,netral
harusnya perintidakat ikut m,netral
finger red number one medal yellow first red after ego,netral
mau nanya main jam berapa,netral
ayam rrq,positif
kapan mainnya,netral
hai,netral
lets go alter ego mengukir sejarah,positif
gemini darksayastem,netral
rrq menang amiin,positif
ngetik evos fam tertawa,negatif
alter ego menang allah,negatif
cendy dark sistem gua sering liat live nya mas dean,netral
gua petidakng onic alter ego tim apaan face with tears of joy face with tears of joy,netral
letsgi alter ego,negatif
prediksi alter ego onic face orange biting nails,netral
backhand index pointing down squinting face with tongue,netral
uu,positif
banyak okum gini gokil,positif
rrq main jm berapa,netral
coach adi jantidakn ban yss yazuke,netral
alter ego vs onic rrq menang,netral
bet,negatif
spam tuh sdm rendah tidakmpang provok,negatif
gemini kapan rrq m series,netral
eeq menang,positif
face with tongue,positif
rinz the cringe udh alm,netral
fans rrq,positif
pe ape,negatif
komen rusak jirr main siapa face green smiling,negatif
er er ki main jam berapa,netral
gio,netral
kucing berak sekebon tertawatertawa,negatif
miskin yatim piatu sok mau taruhan,negatif
jam brpa mulai main nya,netral
november o nya apa onic,negatif
req menang,positif
l mpl,netral
lama bngt ni mpl bisan nonton,negatif
goa peruntukan reguler or julukan goa moai,netral
alter ego onic,negatif
jantidakn miya lah winking face,negatif
maju jauh ujungnya tidak lolos,negatif
lama anjir,negatif
mulainya jam berapa si,netral
jawab main jam berapa,netral
jantidakn nyalakan pasih alter ego folded hands folded hands folded hands,netral
let s go rrq rolling on the floor laughing,netral
lamanya,negatif
albert dibeli rrq bareng brusko,netral
tebak siapa menang alter ego onic,negatif
goa nomor udah nongol,netral
apaan dahh lama bangt anj,negatif
maksud nya apa,negatif
tidak penting langsung match aja,netral
kalian dukung mna onic sini deh merapat,netral
onic turu walter ego,netral
bismillahirrahmanirrahim goo onic wiin,netral
main nya jam guyss,netral
november n nya apa navi tim apaan rrq nih squinting face with tongue,negatif
alter ego wwiinn,negatif
alter ego onic face orange biting nails,netral
crispy cendy ikut main mobile legends,netral
adik adik mainnya,positif
he,negatif
lah mm lah,negatif
udh bner tidak rrq kalian mobile legendsah bahas rrq mulu bukannya tenang kalian malah bikin brisik,negatif
pakai saber aja winking face,netral
apipi,positif
oktober bersearah,netral
jam berapa main nya,netral
liatin tidakme nya lah mpl woi,negatif
malter egon jam brp guyd,negatif
gw mekkah berdoa onic semotidak menang,positif
alterego bismillah,netral
alter bego go go,negatif
liat tidakmeplaynya woy,negatif
kpn malter egonnya ee,negatif
alter ego good luck berproses semotidak menang,positif
emot kairi dulu guys winking face with tongue backhand index pointing down,netral
tidakring,negatif
kingdom iri liat tim nya playoff aja tidakbisa,negatif
squinting face with tongue,netral
let s go king alter ego,netral
mana tidakme play na,negatif
its alter ego time,positif
menang lawan rrq,positif
kapan malter egonnya etdah malah tidakjelas,negatif
mpl makin kesini makin bnyk drma tidakring,negatif
cendy bot,netral
laamaa,positif
goa nomor pala nya nongol,negatif
jam ntidaksal,netral
nah bener udah tidakada aja bahas terus sebenernya mau tidak rrq ngood tidakmeak sama aja grinning face with sweat grinning face with sweat,negatif
alter ego mengukir sejarah onic ntidaklah aja hand orange covering eyes,netral
dinda sok asik,negatif
challenge tidak penting,negatif
malter egon jam brp,negatif
rrq posisi jadi langsung lolos m,netral
mulai aja langsung tot,netral
oo tidak,negatif
alter ego menang sih,negatif
rqq jam berapa main,netral
gua mimpi alter ego juara,positif
mulai jam brp,netral
alter ego pede,negatif
alter ego mengukir sejarah onic ntidaklah aja hand orange covering eyes,netral
tidak ajak,negatif
kingdom,positif
belum mulai,negatif
mpl tidakring publik min lihatin,negatif
jauh sono,negatif
langsung kasih aja piala mpl buat alter ego minn,netral
mpl gring publok poke liatin,negatif
alter ego gw tetap mendukungmu meskipun tahun berlalu,positif
alter ego gogogogo,negatif
kingdom tau tidak hand orange covering eyes,netral
yakali tidakda malter egon miya,negatif
kapan mulai bg,negatif
piala pertama alter ego,netral
day terakhir mpl,netral
publik poke main liatin odang mau liat pro player malah liatin pkke poke,negatif
piala mpl onic brp,netral
x nomor koar face blue smiling,netral
kasih trofi nya kek alter ego kali,negatif
darat,positif
onic alter ego kapan,negatif
rrq ukir sejarah,positif
onic alter ego bingung gw,negatif
alter ego alter ego,negatif
subscriber mpl jt,netral
rrq malter egon,negatif
fanny darat yawning face,netral
funy darat,positif
fany darat rolling on the floor laughing rolling on the floor laughing,netral
percuma playoff tidak juara,negatif
darat njiirr,positif
jam brpa mulainy,netral
lama kh main nya,negatif
tidak energi maksa ektertawa,positif
bo,negatif
darat bener,positif
darat vanget,positif
inilah nyatanya darksayastem squinting face with tongue rolling on the floor laughing,netral
rrq punya scoc tim tidak punya wlee elbowcough,netral
ntidakntuk,negatif
maksa make funy hahahaha,negatif
sok make fanny darat,negatif
jam berapa main nya ges,netral
tidakya tidakyaan lu main fanny cable angin gtu,negatif
rrq main yah,netral
wts tiket grand final legend tidak datang sakit folded hands,negatif
langsung kasih pilanya onic esport gelloik,netral
darat ks,positif
funy epic,positif
goo onic,positif
publik rank,positif
darat nat,positif
jam berapa main nya,netral
tidak ajak sok asik,negatif
faniy darat,positif
fanny panuan ktertawaw,netral
tidak fannyy,negatif
bo kan,negatif
jam berapa main nya,netral
rrq vs onic,netral
poke nah rajeh,negatif
admin mpl live final nya jam brp jing malah nyuguhin tontonan tidak bermutu,negatif
mawi,positif
udh miss banyak tintidakah,positif
jam we jam,negatif
rrq malter egon kejuaraartn rw,netral
lama banget jam brp,negatif
fanny darat,positif
penonton nya dikit karna tidakda rrq raised hand cat with tears of joy raised back of hand,negatif
oke makasi,positif
evos cuma punya m karatan face purple crying,negatif
x hastaq nibos,positif
kocak mpl tidak jelas,negatif
mulainya jam brp jir,netral
rrq main,netral
tidakda rrq penonton nya cuma dikit smirking face pinching hand,negatif
rrq nnti malter egon kejuaraan kecamatan,negatif
rrq kapan,netral
tertawatertawatertawatertawa,netral
nanya fanny darat lu malter egon tidak face blue smiling,negatif
wib,netral
evos juara kecamatan,positif
tidak badut jadi sepi,negatif
untung gua dukung menang,positif
wib woi baru main,negatif
g bermutu,negatif
grand final jam brp,netral
alter ego juara goodvibes,netral
lila,positif
sorry tertawa goodvibes,negatif
jahat mana,negatif
jm final main,netral
lama ck,negatif
btr best team in the world,positif
hahahaha darat recall,positif
iya tidak badut jadi sepi padal kemarin pas lawan alter ego badutnya jadi rame,negatif
mid baru rrq,netral
recall face blue smiling,netral
gua taruhan jt metidakng onic,negatif
tidakda rrq tidakda penonton jamet kampuntidakn,negatif
semantidakt alter ego juara,positif
evos team purba m karatan nih boss face blue smiling,negatif
miya brawlyy,netral
coo darat banget,positif
apaa,negatif
pascol,netral
kapan mainnya onic,netral
a,positif
kocak,positif
latidak tani moai,netral
kira pascol,negatif
gw jutidak lawan fanny,negatif
mod berkerja tertawa,positif
alucard muntidakin muncul,netral
rrq main kapan bang sorry baru liat mpl,netral
kongdom caper,negatif
buat tidak tau onic vs alter ego jam wib,netral
jual skin beli skill,netral
apalah nih main kaya bucah epicc,negatif
tidak sabar liat rrq nich,negatif
tertawatertawa,positif
rrq masuk gua lol,netral
kapan main nya bjir,netral
fanny nya tertawatertawa,positif
war apa,negatif
tidak makro nyaa,positif
kasian esme main sendiri,negatif
darat epic,positif
esmeralda nya jago,positif
rrq masuk gua wokotertawawtertawak pemain ampas semua,negatif
mpl tidak butuh streaner,netral
rrq klub padel,netral
retri nya jual indomaret moai,netral
